# bench_mpc (sweep_mpc_robust) : 25 ans ; VoLL=3.0 ; N=32 graines ; CRN ; base=MPC omni (plancher)
label ; N ; LPSP(%) ; sLPSP ; deg(kEUR) ; sdeg ; total(kEUR) ; stotal ; dtotal_vs_base(kEUR) ; ELY_starts
MPC omni (plancher) ; 1 ; 0.6328 ; 0.0000 ; 54.596 ; 0.000 ; 59.786 ; 0.000 ; +0.000 ; 8402
MPC nu (ref) ; 32 ; 1.2769 ; 0.0146 ; 68.284 ; 0.065 ; 78.757 ; 0.142 ; +18.971 ; 12603
sw x3 ; 32 ; 1.4088 ; 0.0197 ; 66.287 ; 0.052 ; 77.840 ; 0.160 ; +18.054 ; 11613
sw x10 ; 32 ; 1.8402 ; 0.0183 ; 66.193 ; 0.050 ; 81.285 ; 0.147 ; +21.499 ; 10587
sw x30 ; 32 ; 4.7372 ; 0.0373 ; 69.326 ; 0.058 ; 108.178 ; 0.324 ; +48.392 ; 17139
hold 0.3 ; 32 ; 1.5191 ; 0.0136 ; 68.900 ; 0.058 ; 81.358 ; 0.120 ; +21.572 ; 13961
hold 1.0 ; 32 ; 1.5799 ; 0.0150 ; 70.607 ; 0.065 ; 83.564 ; 0.153 ; +23.778 ; 15152
sw x10 + hold 0.3 ; 32 ; 1.9591 ; 0.0210 ; 66.937 ; 0.054 ; 83.004 ; 0.173 ; +23.217 ; 11486
sw x10 + hold 1.0 ; 32 ; 2.1735 ; 0.0253 ; 68.842 ; 0.060 ; 86.667 ; 0.214 ; +26.881 ; 13674
