# Valeur de la RUL -- maintenance insulaire (fenetres de visite + cout fixe)
# horizon=25 ans | N_MC=200 | mult U_log[0.50,2.00] | seed=2026 | VoLL=3.0 | Tvisite=12m | marge=1 | prev=fc+ely
# strategie de conduite FIXE : RB2(SoH) ; politiques : ['instant', 'corrective', 'calendar', 'rul']
# ages calendaires de ref (nominal x 1.00) : {'bat': 3.89, 'fc': 5.52, 'ely': None}
# cout total = uni0 + C_visite*n_interventions + gaspillage ; C_visite en post-proc
# TEST NUL instant==base : OK (ecart 0.000e+00 kEUR)

## Points nominaux (multiplicateurs = 1)
policy;lpsp;deg;uni0;nint;nprev;waste;wbat;wfc;wely;outfc;outely
instant;2.9099;58.024;81.889;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
corrective;3.3164;57.119;84.319;8.000;0.000;0.000;0.000;0.000;0.000;16358.000;0.000
calendar;2.9512;57.740;81.944;9.000;4.000;0.499;0.000;0.499;0.000;0.000;0.000
rul;2.9512;57.740;81.944;9.000;4.000;0.499;0.000;0.499;0.000;0.000;0.000

## Tirages (mondes perturbes, 200 complets)
draw;m_fc_a;m_fc_b;m_fc_s;m_ely_a;m_ely_b;m_ely_s;m_bat;instant_lpsp;instant_deg;instant_uni0;instant_nint;instant_nprev;instant_waste;instant_wbat;instant_wfc;instant_wely;instant_outfc;instant_outely;corrective_lpsp;corrective_deg;corrective_uni0;corrective_nint;corrective_nprev;corrective_waste;corrective_wbat;corrective_wfc;corrective_wely;corrective_outfc;corrective_outely;calendar_lpsp;calendar_deg;calendar_uni0;calendar_nint;calendar_nprev;calendar_waste;calendar_wbat;calendar_wfc;calendar_wely;calendar_outfc;calendar_outely;rul_lpsp;rul_deg;rul_uni0;rul_nint;rul_nprev;rul_waste;rul_wbat;rul_wfc;rul_wely;rul_outfc;rul_outely
0;0.6408;1.2140;0.9556;0.8357;0.8178;1.4959;1.7536;2.9521;94.154;118.365;15.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.5225;90.222;119.112;11.000;0.000;0.000;0.000;0.000;0.000;1550.000;5151.000;3.5322;90.118;119.087;12.000;4.000;1.397;0.000;1.397;0.000;0.000;6372.000;3.3833;90.461;118.209;10.000;1.000;0.197;0.000;0.000;0.197;1550.000;0.000
1;0.6394;1.2359;0.7561;1.9105;1.7897;1.2073;1.4196;3.0084;76.774;101.447;12.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0960;75.966;101.358;10.000;0.000;0.000;0.000;0.000;0.000;1593.000;0.000;3.0814;75.885;101.157;11.000;4.000;1.844;0.000;1.844;0.000;0.000;0.000;3.0960;75.966;101.358;10.000;0.000;0.000;0.000;0.000;0.000;1593.000;0.000
2;1.0212;1.5711;0.9309;0.7998;0.7350;0.6843;1.0364;2.8267;57.482;80.665;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1668;56.631;82.604;8.000;0.000;0.000;0.000;0.000;0.000;12416.000;0.000;2.8890;56.966;80.661;9.000;4.000;0.602;0.000;0.602;0.000;0.000;0.000;2.8890;56.966;80.661;9.000;4.000;0.602;0.000;0.602;0.000;0.000;0.000
3;0.9087;1.2538;0.5090;0.9301;0.8295;0.6556;1.1406;2.8093;60.548;83.589;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1807;59.176;85.262;6.000;0.000;0.000;0.000;0.000;0.000;5217.000;0.000;2.9591;59.137;83.406;9.000;4.000;1.829;0.000;1.829;0.000;0.000;0.000;2.9685;59.244;83.590;9.000;3.000;0.409;0.000;0.409;0.000;0.000;0.000
4;0.9142;0.7578;0.6684;1.6809;1.5104;1.1594;0.8068;2.9652;49.382;73.701;8.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0938;48.581;73.955;7.000;0.000;0.000;0.000;0.000;0.000;8508.000;0.000;3.0371;48.884;73.793;4.000;4.000;1.460;0.000;1.460;0.000;0.000;0.000;3.0408;49.020;73.959;7.000;1.000;0.009;0.000;0.009;0.000;113.000;0.000
5;1.8579;1.0918;0.9110;1.7422;0.7785;1.3122;0.7725;3.0073;51.956;76.620;11.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.6280;50.587;80.342;6.000;0.000;0.000;0.000;0.000;0.000;17072.000;0.000;3.6280;50.587;80.342;6.000;0.000;0.000;0.000;0.000;0.000;17072.000;0.000;3.1596;51.156;77.069;9.000;4.000;0.264;0.000;0.043;0.222;105.000;0.000
6;0.7185;1.3210;0.6858;0.9905;1.1173;0.6497;1.3779;2.8130;71.054;94.124;11.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.9355;70.512;94.587;10.000;0.000;0.000;0.000;0.000;0.000;3515.000;0.000;2.8692;70.423;93.954;11.000;4.000;1.828;0.000;1.828;0.000;0.000;0.000;2.8780;70.515;94.119;10.000;3.000;0.429;0.000;0.429;0.000;0.000;0.000
7;1.0695;1.1835;0.8376;0.8953;0.9929;0.9592;1.2757;2.9064;69.809;93.645;12.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.4154;67.231;95.242;8.000;0.000;0.000;0.000;0.000;0.000;6690.000;0.000;3.2320;67.433;93.939;9.000;4.000;0.717;0.000;0.717;0.000;0.000;0.000;3.2320;67.433;93.939;9.000;4.000;0.717;0.000;0.717;0.000;0.000;0.000
8;1.1129;0.8904;0.5013;1.5032;1.0272;0.7863;0.9999;2.8355;55.592;78.847;9.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.9147;55.218;79.122;9.000;0.000;0.000;0.000;0.000;0.000;3545.000;0.000;2.8736;55.194;78.762;9.000;4.000;1.406;0.000;1.406;0.000;0.000;0.000;2.8891;55.277;78.972;8.000;3.000;0.501;0.000;0.501;0.000;906.000;0.000
9;0.5692;1.7525;1.9717;0.5424;0.8216;1.3757;0.7730;3.0136;51.619;76.335;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.2103;49.782;84.312;4.000;0.000;0.000;0.000;0.000;0.000;28839.000;0.000;4.2103;49.782;84.312;4.000;0.000;0.000;0.000;0.000;0.000;28839.000;0.000;3.1733;50.807;76.832;9.000;7.000;0.658;0.000;0.609;0.049;0.000;0.000
