# Valeur de la RUL -- maintenance insulaire (fenetres de visite + cout fixe)
# horizon=25 ans | N_MC=200 | mult U_log[0.50,2.00] | seed=2026 | VoLL=3.0 | Tvisite=6m | marge=1.5 | prev=fc+ely
# strategie de conduite FIXE : RB2(SoH) ; politiques : ['instant', 'corrective', 'calendar', 'rul']
# ages calendaires de ref (nominal x 1.00) : {'bat': 3.89, 'fc': 5.52, 'ely': None}
# cout total = uni0 + C_visite*n_interventions + gaspillage ; C_visite en post-proc
# TEST NUL instant==base : OK (ecart 0.000e+00 kEUR)

## Points nominaux (multiplicateurs = 1)
policy;lpsp;deg;uni0;nint;nprev;waste;wbat;wfc;wely;outfc;outely
instant;2.9099;58.024;81.889;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
corrective;3.3164;57.119;84.319;8.000;0.000;0.000;0.000;0.000;0.000;16358.000;0.000
calendar;2.9589;57.762;82.029;10.000;4.000;0.039;0.000;0.039;0.000;0.000;0.000
rul;2.9512;57.740;81.944;9.000;4.000;0.499;0.000;0.499;0.000;0.000;0.000

## Tirages (mondes perturbes, 200 complets)
draw;m_fc_a;m_fc_b;m_fc_s;m_ely_a;m_ely_b;m_ely_s;m_bat;instant_lpsp;instant_deg;instant_uni0;instant_nint;instant_nprev;instant_waste;instant_wbat;instant_wfc;instant_wely;instant_outfc;instant_outely;corrective_lpsp;corrective_deg;corrective_uni0;corrective_nint;corrective_nprev;corrective_waste;corrective_wbat;corrective_wfc;corrective_wely;corrective_outfc;corrective_outely;calendar_lpsp;calendar_deg;calendar_uni0;calendar_nint;calendar_nprev;calendar_waste;calendar_wbat;calendar_wfc;calendar_wely;calendar_outfc;calendar_outely;rul_lpsp;rul_deg;rul_uni0;rul_nint;rul_nprev;rul_waste;rul_wbat;rul_wfc;rul_wely;rul_outfc;rul_outely
10;1.0974;0.8908;1.4625;1.8881;1.7133;1.1825;0.6244;3.0115;43.905;68.603;9.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1410;43.380;69.141;8.000;0.000;0.000;0.000;0.000;0.000;7429.000;0.000;3.1410;43.380;69.141;8.000;0.000;0.000;0.000;0.000;0.000;7429.000;0.000;3.0237;43.815;68.614;9.000;6.000;0.592;0.000;0.592;0.000;0.000;0.000
11;1.8585;0.5167;0.7555;0.7388;1.2690;0.9826;0.5687;2.8921;40.134;63.853;8.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1189;39.448;65.027;8.000;0.000;0.000;0.000;0.000;0.000;10816.000;0.000;3.1189;39.448;65.027;8.000;0.000;0.000;0.000;0.000;0.000;10816.000;0.000;2.9138;40.013;63.910;9.000;6.000;0.483;0.000;0.483;0.000;0.000;0.000
12;0.5090;1.1556;0.9883;1.1509;1.0928;1.7182;1.7861;2.9592;96.978;121.247;15.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.3219;94.656;121.900;11.000;0.000;0.000;0.000;0.000;0.000;5396.000;1864.000;3.2268;94.793;121.257;14.000;4.000;1.333;0.000;1.333;0.000;0.000;3380.000;3.0930;94.994;120.361;13.000;4.000;0.525;0.000;0.208;0.317;0.000;0.000
13;0.6491;1.8458;1.4901;1.2126;1.2477;1.0659;1.7833;2.9399;94.081;118.192;15.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.2808;91.710;118.618;13.000;0.000;0.000;0.000;0.000;0.000;12256.000;0.000;3.2808;91.710;118.618;13.000;0.000;0.000;0.000;0.000;0.000;12256.000;0.000;3.1033;92.130;117.582;14.000;5.000;0.687;0.000;0.687;0.000;0.000;0.000
14;0.6909;1.1476;1.5459;0.6027;1.1737;0.8740;1.4460;2.8815;77.875;101.507;14.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0227;76.730;101.520;11.000;0.000;0.000;0.000;0.000;0.000;2610.000;0.000;3.0227;76.730;101.520;11.000;0.000;0.000;0.000;0.000;0.000;2610.000;0.000;2.9867;76.767;101.262;11.000;5.000;0.564;0.000;0.564;0.000;0.000;0.000
15;0.5492;1.1596;1.6405;1.1947;0.7806;1.2411;0.7990;3.0288;51.163;76.004;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1387;49.958;75.700;8.000;0.000;0.000;0.000;0.000;0.000;15933.000;0.000;3.1387;49.958;75.700;8.000;0.000;0.000;0.000;0.000;0.000;15933.000;0.000;3.0418;50.833;75.780;10.000;6.000;0.875;0.000;0.686;0.190;0.000;0.000
16;1.2633;0.5974;0.7371;0.5232;0.5617;1.0789;0.6894;2.9355;44.559;68.635;8.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.6185;43.437;73.114;4.000;0.000;0.000;0.000;0.000;0.000;15761.000;0.000;3.0067;44.178;68.838;8.000;4.000;0.053;0.000;0.053;0.000;0.000;0.000;2.9998;44.146;68.749;8.000;4.000;0.519;0.000;0.519;0.000;0.000;0.000
17;1.0225;1.2476;1.6963;0.8180;0.7777;0.7724;0.5887;2.8427;39.929;63.243;9.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1888;38.843;64.996;8.000;0.000;0.000;0.000;0.000;0.000;19358.000;0.000;3.1888;38.843;64.996;8.000;0.000;0.000;0.000;0.000;0.000;19358.000;0.000;2.8733;39.735;63.300;7.000;7.000;1.228;0.000;1.228;0.000;0.000;0.000
18;1.2539;1.5576;0.9633;1.0842;1.8881;1.3175;1.4045;3.0201;78.796;103.565;14.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.2481;77.855;104.494;12.000;0.000;0.000;0.000;0.000;0.000;4549.000;2830.000;3.2481;77.855;104.494;12.000;0.000;0.000;0.000;0.000;0.000;4549.000;2830.000;3.0717;78.152;103.344;12.000;6.000;0.752;0.000;0.664;0.087;0.000;0.000
19;1.7159;0.6744;1.2314;1.3517;1.6071;0.8053;1.2992;2.8901;72.621;96.325;14.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0531;71.801;96.840;13.000;0.000;0.000;0.000;0.000;0.000;12661.000;0.000;3.0531;71.801;96.840;13.000;0.000;0.000;0.000;0.000;0.000;12661.000;0.000;2.9348;71.995;96.065;14.000;7.000;0.641;0.000;0.641;0.000;0.000;0.000
20;1.1557;0.8819;0.5757;0.8157;1.9013;0.6750;0.5853;2.8179;36.520;59.631;6.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.9667;36.324;60.655;6.000;0.000;0.000;0.000;0.000;0.000;2774.000;0.000;2.8345;36.299;59.546;7.000;4.000;0.733;0.000;0.733;0.000;0.000;0.000;2.8377;36.358;59.630;7.000;4.000;0.338;0.000;0.338;0.000;0.000;0.000
21;0.8324;0.5751;0.7242;1.7763;0.7779;1.1264;0.6962;2.9427;44.220;68.354;7.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1559;43.296;69.180;7.000;0.000;0.000;0.000;0.000;0.000;9729.000;0.000;3.0265;43.681;68.502;8.000;4.000;1.162;0.000;1.162;0.000;0.000;0.000;3.0352;43.752;68.645;7.000;3.000;0.340;0.000;0.340;0.000;0.000;0.000
22;1.2622;0.5968;1.4945;0.8987;0.6450;1.4305;1.0782;3.0062;66.354;91.009;13.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.3397;64.314;91.704;12.000;0.000;0.000;0.000;0.000;0.000;20730.000;1154.000;3.3397;64.314;91.704;12.000;0.000;0.000;0.000;0.000;0.000;20730.000;1154.000;3.0515;65.674;90.701;14.000;8.000;1.432;0.000;1.168;0.264;0.000;0.000
23;0.9178;0.6980;1.4771;0.8296;0.5308;1.9063;0.5216;2.9164;43.737;67.655;9.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.3018;42.345;69.425;7.000;0.000;0.000;0.000;0.000;0.000;13240.000;3937.000;3.3018;42.345;69.425;7.000;0.000;0.000;0.000;0.000;0.000;13240.000;3937.000;2.9016;43.638;67.435;10.000;7.000;1.315;0.000;1.026;0.289;0.000;0.000
24;0.5909;0.9537;0.6670;0.7957;1.0982;1.8865;1.8310;2.9277;99.339;123.350;14.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.2636;96.908;123.675;11.000;0.000;0.000;0.000;0.000;0.000;2147.000;1040.000;3.3804;96.774;124.499;13.000;4.000;1.913;0.000;1.913;0.000;0.000;2744.000;3.0964;97.077;122.472;12.000;3.000;0.474;0.000;0.096;0.378;0.000;0.000
25;0.5539;1.6320;0.6310;1.5399;0.7540;1.3525;1.3543;2.9987;74.320;98.913;11.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.2790;73.683;100.575;11.000;0.000;0.000;0.000;0.000;0.000;2998.000;2716.000;3.3518;73.543;101.032;13.000;4.000;2.042;0.000;2.042;0.000;0.000;4348.000;3.0378;73.885;98.800;9.000;3.000;0.292;0.000;0.101;0.191;0.000;0.000
26;1.6257;1.9443;0.7325;1.1947;1.3933;0.5584;1.2535;2.8012;67.369;90.343;13.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0989;66.004;91.419;11.000;0.000;0.000;0.000;0.000;0.000;14298.000;0.000;3.0989;66.004;91.419;11.000;0.000;0.000;0.000;0.000;0.000;14298.000;0.000;2.9091;66.396;90.255;12.000;5.000;0.283;0.000;0.283;0.000;0.000;0.000
27;0.7808;0.6254;1.0710;0.9485;1.1128;1.2174;0.9982;3.0069;59.076;83.737;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0517;58.629;83.657;9.000;0.000;0.000;0.000;0.000;0.000;4589.000;0.000;3.0342;58.800;83.684;10.000;4.000;0.416;0.000;0.416;0.000;0.000;0.000;3.0342;58.800;83.684;10.000;4.000;0.416;0.000;0.416;0.000;0.000;0.000
28;1.7536;0.6399;0.7462;0.8193;1.4628;1.2347;0.6657;2.9948;45.874;70.436;9.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0715;45.599;70.790;8.000;0.000;0.000;0.000;0.000;0.000;2086.000;0.000;3.0715;45.599;70.790;8.000;0.000;0.000;0.000;0.000;0.000;2086.000;0.000;3.0365;45.636;70.539;8.000;6.000;0.820;0.000;0.820;0.000;0.000;0.000
