# Valeur de la RUL -- maintenance insulaire (fenetres de visite + cout fixe)
# horizon=25 ans | N_MC=200 | mult U_log[0.50,2.00] | seed=2026 | VoLL=3.0 | Tvisite=3m | marge=1 | prev=fc+ely
# strategie de conduite FIXE : RB2(SoH) ; politiques : ['instant', 'corrective', 'calendar', 'rul']
# ages calendaires de ref (nominal x 1.00) : {'bat': 3.89, 'fc': 5.52, 'ely': None}
# cout total = uni0 + C_visite*n_interventions + gaspillage ; C_visite en post-proc
# TEST NUL instant==base : OK (ecart 0.000e+00 kEUR)

## Points nominaux (multiplicateurs = 1)
policy;lpsp;deg;uni0;nint;nprev;waste;wbat;wfc;wely;outfc;outely
instant;2.9099;58.024;81.889;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
corrective;3.1078;57.460;82.948;10.000;0.000;0.000;0.000;0.000;0.000;7467.000;0.000
calendar;2.9589;57.762;82.029;10.000;4.000;0.039;0.000;0.039;0.000;0.000;0.000
rul;2.9589;57.762;82.029;10.000;4.000;0.039;0.000;0.039;0.000;0.000;0.000

## Tirages (mondes perturbes, 200 complets)
draw;m_fc_a;m_fc_b;m_fc_s;m_ely_a;m_ely_b;m_ely_s;m_bat;instant_lpsp;instant_deg;instant_uni0;instant_nint;instant_nprev;instant_waste;instant_wbat;instant_wfc;instant_wely;instant_outfc;instant_outely;corrective_lpsp;corrective_deg;corrective_uni0;corrective_nint;corrective_nprev;corrective_waste;corrective_wbat;corrective_wfc;corrective_wely;corrective_outfc;corrective_outely;calendar_lpsp;calendar_deg;calendar_uni0;calendar_nint;calendar_nprev;calendar_waste;calendar_wbat;calendar_wfc;calendar_wely;calendar_outfc;calendar_outely;rul_lpsp;rul_deg;rul_uni0;rul_nint;rul_nprev;rul_waste;rul_wbat;rul_wfc;rul_wely;rul_outfc;rul_outely
10;1.0974;0.8908;1.4625;1.8881;1.7133;1.1825;0.6244;3.0115;43.905;68.603;9.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1573;43.404;69.299;8.000;0.000;0.000;0.000;0.000;0.000;7429.000;0.000;3.1573;43.404;69.299;8.000;0.000;0.000;0.000;0.000;0.000;7429.000;0.000;3.0208;43.893;68.668;8.000;5.000;0.121;0.000;0.121;0.000;0.000;0.000
11;1.8585;0.5167;0.7555;0.7388;1.2690;0.9826;0.5687;2.8921;40.134;63.853;8.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0323;39.700;64.569;8.000;0.000;0.000;0.000;0.000;0.000;6432.000;0.000;3.0323;39.700;64.569;8.000;0.000;0.000;0.000;0.000;0.000;6432.000;0.000;2.9160;40.071;63.987;8.000;3.000;0.017;0.000;0.017;0.000;216.000;0.000
12;0.5090;1.1556;0.9883;1.1509;1.0928;1.7182;1.7861;2.9592;96.978;121.247;15.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1080;96.230;121.720;15.000;0.000;0.000;0.000;0.000;0.000;3206.000;1864.000;3.0190;96.317;121.077;16.000;4.000;1.291;0.000;1.291;0.000;0.000;1190.000;2.9971;96.455;121.036;15.000;4.000;0.121;0.000;0.082;0.039;0.000;0.000
13;0.6491;1.8458;1.4901;1.2126;1.2477;1.0659;1.7833;2.9399;94.081;118.192;15.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0812;93.485;118.755;14.000;0.000;0.000;0.000;0.000;0.000;3559.000;0.000;3.0812;93.485;118.755;14.000;0.000;0.000;0.000;0.000;0.000;3559.000;0.000;2.9973;93.583;118.165;15.000;4.000;0.166;0.000;0.166;0.000;0.000;0.000
14;0.6909;1.1476;1.5459;0.6027;1.1737;0.8740;1.4460;2.8815;77.875;101.507;14.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.9410;77.448;101.569;13.000;0.000;0.000;0.000;0.000;0.000;2610.000;0.000;2.9410;77.448;101.569;13.000;0.000;0.000;0.000;0.000;0.000;2610.000;0.000;2.9267;77.507;101.510;14.000;5.000;0.252;0.000;0.252;0.000;0.000;0.000
15;0.5492;1.1596;1.6405;1.1947;0.7806;1.2411;0.7990;3.0288;51.163;76.004;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1033;50.506;75.957;8.000;0.000;0.000;0.000;0.000;0.000;7019.000;0.000;3.1033;50.506;75.957;8.000;0.000;0.000;0.000;0.000;0.000;7019.000;0.000;3.0728;50.889;76.090;5.000;5.000;0.134;0.000;0.062;0.072;0.000;0.000
16;1.2633;0.5974;0.7371;0.5232;0.5617;1.0789;0.6894;2.9355;44.559;68.635;8.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.2074;44.165;70.470;4.000;0.000;0.000;0.000;0.000;0.000;6799.000;0.000;2.9536;44.468;68.692;8.000;4.000;0.053;0.000;0.053;0.000;0.000;0.000;2.9536;44.468;68.692;8.000;4.000;0.053;0.000;0.053;0.000;0.000;0.000
17;1.0225;1.2476;1.6963;0.8180;0.7777;0.7724;0.5887;2.8427;39.929;63.243;9.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.9732;39.514;63.899;8.000;0.000;0.000;0.000;0.000;0.000;8328.000;0.000;2.9732;39.514;63.899;8.000;0.000;0.000;0.000;0.000;0.000;8328.000;0.000;2.8530;39.893;63.292;9.000;6.000;0.132;0.000;0.132;0.000;0.000;0.000
18;1.2539;1.5576;0.9633;1.0842;1.8881;1.3175;1.4045;3.0201;78.796;103.565;14.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1164;78.111;103.670;11.000;0.000;0.000;0.000;0.000;0.000;2359.000;272.000;3.1164;78.111;103.670;11.000;0.000;0.000;0.000;0.000;0.000;2359.000;272.000;3.0794;78.229;103.485;12.000;2.000;0.104;0.000;0.007;0.097;435.000;0.000
19;1.7159;0.6744;1.2314;1.3517;1.6071;0.8053;1.2992;2.8901;72.621;96.325;14.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0470;71.966;96.955;13.000;0.000;0.000;0.000;0.000;0.000;12661.000;0.000;3.0470;71.966;96.955;13.000;0.000;0.000;0.000;0.000;0.000;12661.000;0.000;2.9183;72.248;96.183;14.000;6.000;0.032;0.000;0.032;0.000;0.000;0.000
20;1.1557;0.8819;0.5757;0.8157;1.9013;0.6750;0.5853;2.8179;36.520;59.631;6.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.9471;36.420;60.590;6.000;0.000;0.000;0.000;0.000;0.000;2774.000;0.000;2.8066;36.396;59.414;7.000;4.000;0.733;0.000;0.733;0.000;0.000;0.000;2.8152;36.504;59.592;6.000;3.000;0.093;0.000;0.093;0.000;0.000;0.000
21;0.8324;0.5751;0.7242;1.7763;0.7779;1.1264;0.6962;2.9427;44.220;68.354;7.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0327;43.940;68.813;7.000;0.000;0.000;0.000;0.000;0.000;3215.000;0.000;2.9701;43.976;68.336;8.000;4.000;1.162;0.000;1.162;0.000;0.000;0.000;2.9770;44.074;68.490;7.000;3.000;0.074;0.000;0.074;0.000;0.000;0.000
22;1.2622;0.5968;1.4945;0.8987;0.6450;1.4305;1.0782;3.0062;66.354;91.009;13.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1341;65.603;91.306;12.000;0.000;0.000;0.000;0.000;0.000;9700.000;932.000;3.1341;65.603;91.306;12.000;0.000;0.000;0.000;0.000;0.000;9700.000;932.000;3.0214;66.256;91.036;13.000;7.000;0.118;0.000;0.066;0.052;0.000;0.000
23;0.9178;0.6980;1.4771;0.8296;0.5308;1.9063;0.5216;2.9164;43.737;67.655;9.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0577;43.138;68.215;9.000;0.000;0.000;0.000;0.000;0.000;5777.000;1882.000;3.0577;43.138;68.215;9.000;0.000;0.000;0.000;0.000;0.000;5777.000;1882.000;2.9123;43.700;67.585;8.000;5.000;0.188;0.000;0.188;0.000;0.000;70.000
24;0.5909;0.9537;0.6670;0.7957;1.0982;1.8865;1.8310;2.9277;99.339;123.350;14.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1636;98.412;124.358;12.000;0.000;0.000;0.000;0.000;0.000;2147.000;1040.000;3.0024;98.378;123.002;16.000;4.000;1.878;0.000;1.878;0.000;0.000;554.000;2.9973;98.575;123.157;14.000;3.000;0.129;0.000;0.028;0.101;0.000;0.000
25;0.5539;1.6320;0.6310;1.5399;0.7540;1.3525;1.3543;2.9987;74.320;98.913;11.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0877;73.768;99.092;11.000;0.000;0.000;0.000;0.000;0.000;2998.000;526.000;3.1436;73.631;99.412;13.000;4.000;2.042;0.000;2.042;0.000;0.000;2158.000;3.0518;73.908;98.937;11.000;3.000;0.113;0.000;0.032;0.081;0.000;0.000
26;1.6257;1.9443;0.7325;1.1947;1.3933;0.5584;1.2535;2.8012;67.369;90.343;13.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.9044;67.085;90.906;12.000;0.000;0.000;0.000;0.000;0.000;3216.000;0.000;2.9044;67.085;90.906;12.000;0.000;0.000;0.000;0.000;0.000;3216.000;0.000;2.8322;67.118;90.346;12.000;5.000;0.283;0.000;0.283;0.000;0.000;0.000
27;0.7808;0.6254;1.0710;0.9485;1.1128;1.2174;0.9982;3.0069;59.076;83.737;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0567;58.738;83.807;9.000;0.000;0.000;0.000;0.000;0.000;2399.000;0.000;3.0342;58.800;83.684;10.000;4.000;0.416;0.000;0.416;0.000;0.000;0.000;3.0473;58.811;83.803;8.000;1.000;0.008;0.000;0.008;0.000;527.000;0.000
28;1.7536;0.6399;0.7462;0.8193;1.4628;1.2347;0.6657;2.9948;45.874;70.436;9.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0715;45.599;70.790;8.000;0.000;0.000;0.000;0.000;0.000;2086.000;0.000;3.0715;45.599;70.790;8.000;0.000;0.000;0.000;0.000;0.000;2086.000;0.000;3.0197;45.683;70.449;9.000;4.000;0.231;0.000;0.231;0.000;152.000;0.000
29;1.4034;1.4571;1.4545;0.5574;0.6710;1.7300;1.6922;2.9646;96.191;120.506;17.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1332;94.695;120.392;15.000;0.000;0.000;0.000;0.000;0.000;5740.000;938.000;3.1332;94.695;120.392;15.000;0.000;0.000;0.000;0.000;0.000;5740.000;938.000;3.0437;95.095;120.058;13.000;7.000;0.358;0.000;0.272;0.085;0.000;0.000
