# Valeur de la RUL -- maintenance insulaire (fenetres de visite + cout fixe)
# horizon=25 ans | N_MC=200 | mult U_log[0.50,2.00] | seed=2026 | VoLL=3.0 | Tvisite=6m | marge=1
# strategie de conduite FIXE : RB2(SoH) ; politiques : ['instant', 'corrective', 'calendar', 'rul']
# ages calendaires de ref (nominal x 1.00) : {'bat': 3.89, 'fc': 5.52, 'ely': None}
# cout total = uni0 + C_visite*n_interventions + gaspillage ; C_visite en post-proc
# TEST NUL instant==base : OK (ecart 0.000e+00 kEUR)

## Points nominaux (multiplicateurs = 1)
policy;lpsp;deg;uni0;nint;nprev;waste;outfc;outely
instant;2.9099;58.024;81.889;10.000;0.000;0.000;0.000;0.000
corrective;3.3164;57.119;84.319;8.000;0.000;0.000;16358.000;0.000
calendar;2.8577;58.524;81.962;11.000;11.000;4.374;0.000;0.000
rul;2.8577;58.524;81.962;11.000;11.000;4.374;0.000;0.000

## Tirages (mondes perturbes, 200 complets)
draw;m_fc_a;m_fc_b;m_fc_s;m_ely_a;m_ely_b;m_ely_s;m_bat;instant_lpsp;instant_deg;instant_uni0;instant_nint;instant_nprev;instant_waste;instant_outfc;instant_outely;corrective_lpsp;corrective_deg;corrective_uni0;corrective_nint;corrective_nprev;corrective_waste;corrective_outfc;corrective_outely;calendar_lpsp;calendar_deg;calendar_uni0;calendar_nint;calendar_nprev;calendar_waste;calendar_outfc;calendar_outely;rul_lpsp;rul_deg;rul_uni0;rul_nint;rul_nprev;rul_waste;rul_outfc;rul_outely
10;1.0974;0.8908;1.4625;1.8881;1.7133;1.1825;0.6244;3.0115;43.905;68.603;9.000;0.000;0.000;0.000;0.000;3.1410;43.380;69.141;8.000;0.000;0.000;7429.000;0.000;2.7682;45.283;67.986;12.000;7.000;19.659;7429.000;0.000;2.9749;44.115;68.513;8.000;10.000;1.547;0.000;0.000
11;1.8585;0.5167;0.7555;0.7388;1.2690;0.9826;0.5687;2.8921;40.134;63.853;8.000;0.000;0.000;0.000;0.000;3.1189;39.448;65.027;8.000;0.000;0.000;10816.000;0.000;2.6781;41.172;63.137;12.000;7.000;22.048;10816.000;0.000;2.8768;40.145;63.739;9.000;9.000;1.400;0.000;0.000
12;0.5090;1.1556;0.9883;1.1509;1.0928;1.7182;1.7861;2.9592;96.978;121.247;15.000;0.000;0.000;0.000;0.000;3.3219;94.656;121.900;11.000;0.000;0.000;5396.000;1864.000;3.2268;94.793;121.257;14.000;4.000;1.333;0.000;3380.000;2.9268;97.708;121.711;15.000;16.000;6.472;0.000;0.000
13;0.6491;1.8458;1.4901;1.2126;1.2477;1.0659;1.7833;2.9399;94.081;118.192;15.000;0.000;0.000;0.000;0.000;3.2808;91.710;118.618;13.000;0.000;0.000;12256.000;0.000;3.2808;91.710;118.618;13.000;0.000;0.000;12256.000;0.000;2.9237;94.847;118.826;14.000;16.000;6.485;0.000;0.000
14;0.6909;1.1476;1.5459;0.6027;1.1737;0.8740;1.4460;2.8815;77.875;101.507;14.000;0.000;0.000;0.000;0.000;3.0227;76.730;101.520;11.000;0.000;0.000;2610.000;0.000;3.0227;76.730;101.520;11.000;0.000;0.000;2610.000;0.000;2.8494;78.254;101.623;13.000;14.000;4.475;0.000;0.000
15;0.5492;1.1596;1.6405;1.1947;0.7806;1.2411;0.7990;3.0288;51.163;76.004;10.000;0.000;0.000;0.000;0.000;3.1387;49.958;75.700;8.000;0.000;0.000;15933.000;0.000;2.9271;51.662;75.669;11.000;7.000;12.209;15933.000;0.000;2.9319;51.667;75.713;10.000;10.000;2.580;0.000;0.000
16;1.2633;0.5974;0.7371;0.5232;0.5617;1.0789;0.6894;2.9355;44.559;68.635;8.000;0.000;0.000;0.000;0.000;3.6185;43.437;73.114;4.000;0.000;0.000;15761.000;0.000;2.6978;46.110;68.236;11.000;11.000;16.995;0.000;0.000;2.9230;44.658;68.631;4.000;8.000;0.705;0.000;0.000
17;1.0225;1.2476;1.6963;0.8180;0.7777;0.7724;0.5887;2.8427;39.929;63.243;9.000;0.000;0.000;0.000;0.000;3.1888;38.843;64.996;8.000;0.000;0.000;19358.000;0.000;2.6938;40.677;62.771;12.000;7.000;21.076;19358.000;0.000;2.8413;39.937;63.239;9.000;9.000;0.429;0.000;0.000
18;1.2539;1.5576;0.9633;1.0842;1.8881;1.3175;1.4045;3.0201;78.796;103.565;14.000;0.000;0.000;0.000;0.000;3.2481;77.855;104.494;12.000;0.000;0.000;4549.000;2830.000;3.2481;77.855;104.494;12.000;0.000;0.000;4549.000;2830.000;2.9496;79.637;103.827;10.000;11.000;5.556;435.000;0.000
19;1.7159;0.6744;1.2314;1.3517;1.6071;0.8053;1.2992;2.8901;72.621;96.325;14.000;0.000;0.000;0.000;0.000;3.0531;71.801;96.840;13.000;0.000;0.000;12661.000;0.000;3.0531;71.801;96.840;13.000;0.000;0.000;12661.000;0.000;2.7665;73.822;96.511;15.000;16.000;9.816;0.000;0.000
20;1.1557;0.8819;0.5757;0.8157;1.9013;0.6750;0.5853;2.8179;36.520;59.631;6.000;0.000;0.000;0.000;0.000;2.9667;36.324;60.655;6.000;0.000;0.000;2774.000;0.000;2.5103;38.120;58.708;11.000;11.000;22.123;0.000;0.000;2.7999;36.495;59.458;7.000;7.000;0.740;0.000;0.000
21;0.8324;0.5751;0.7242;1.7763;0.7779;1.1264;0.6962;2.9427;44.220;68.354;7.000;0.000;0.000;0.000;0.000;3.1559;43.296;69.180;7.000;0.000;0.000;9729.000;0.000;2.7142;45.643;67.903;11.000;11.000;17.835;0.000;0.000;2.9246;44.338;68.324;7.000;7.000;1.031;0.000;0.000
22;1.2622;0.5968;1.4945;0.8987;0.6450;1.4305;1.0782;3.0062;66.354;91.009;13.000;0.000;0.000;0.000;0.000;3.3397;64.314;91.704;12.000;0.000;0.000;20730.000;1154.000;3.3494;65.175;92.645;12.000;7.000;1.041;20730.000;1154.000;2.9683;66.604;90.948;14.000;14.000;1.466;0.000;0.000
23;0.9178;0.6980;1.4771;0.8296;0.5308;1.9063;0.5216;2.9164;43.737;67.655;9.000;0.000;0.000;0.000;0.000;3.3018;42.345;69.425;7.000;0.000;0.000;13240.000;3937.000;2.7652;44.009;66.687;12.000;7.000;24.077;13240.000;3937.000;2.8710;43.909;67.455;9.000;8.000;1.341;0.000;70.000
24;0.5909;0.9537;0.6670;0.7957;1.0982;1.8865;1.8310;2.9277;99.339;123.350;14.000;0.000;0.000;0.000;0.000;3.2636;96.908;123.675;11.000;0.000;0.000;2147.000;1040.000;3.3804;96.774;124.499;13.000;4.000;1.913;0.000;2744.000;2.9201;99.908;123.856;14.000;15.000;4.716;0.000;0.000
25;0.5539;1.6320;0.6310;1.5399;0.7540;1.3525;1.3543;2.9987;74.320;98.913;11.000;0.000;0.000;0.000;0.000;3.2790;73.683;100.575;11.000;0.000;0.000;2998.000;2716.000;3.3518;73.543;101.032;13.000;4.000;2.042;0.000;4348.000;2.9096;75.219;99.082;11.000;12.000;7.551;0.000;0.000
26;1.6257;1.9443;0.7325;1.1947;1.3933;0.5584;1.2535;2.8012;67.369;90.343;13.000;0.000;0.000;0.000;0.000;3.0989;66.004;91.419;11.000;0.000;0.000;14298.000;0.000;3.0989;66.004;91.419;11.000;0.000;0.000;14298.000;0.000;2.7897;67.677;90.557;11.000;13.000;1.957;0.000;0.000
27;0.7808;0.6254;1.0710;0.9485;1.1128;1.2174;0.9982;3.0069;59.076;83.737;10.000;0.000;0.000;0.000;0.000;3.0517;58.629;83.657;9.000;0.000;0.000;4589.000;0.000;2.9330;59.562;83.616;11.000;11.000;4.858;0.000;0.000;2.9388;59.575;83.677;11.000;8.000;4.434;527.000;0.000
28;1.7536;0.6399;0.7462;0.8193;1.4628;1.2347;0.6657;2.9948;45.874;70.436;9.000;0.000;0.000;0.000;0.000;3.0715;45.599;70.790;8.000;0.000;0.000;2086.000;0.000;2.7503;47.404;69.960;12.000;7.000;17.943;2086.000;0.000;2.9618;46.129;70.420;8.000;7.000;1.862;564.000;0.000
29;1.4034;1.4571;1.4545;0.5574;0.6710;1.7300;1.6922;2.9646;96.191;120.506;17.000;0.000;0.000;0.000;0.000;3.3963;94.422;122.276;16.000;0.000;0.000;7872.000;3128.000;3.3963;94.422;122.276;16.000;0.000;0.000;7872.000;3128.000;2.8848;97.518;121.178;19.000;20.000;10.768;0.000;0.000
30;0.6649;1.0738;0.7196;0.8904;0.5147;0.7389;0.7277;2.8290;42.450;65.652;7.000;0.000;0.000;0.000;0.000;2.9011;42.216;66.010;7.000;0.000;0.000;4773.000;0.000;2.5982;43.823;65.131;11.000;11.000;16.872;0.000;0.000;2.8277;42.496;65.687;7.000;5.000;1.585;422.000;0.000
31;1.7879;1.1297;0.6395;0.9045;0.9903;1.2098;1.0460;2.9966;62.602;87.179;11.000;0.000;0.000;0.000;0.000;3.3424;61.135;88.547;9.000;0.000;0.000;18472.000;0.000;3.1381;61.962;87.699;11.000;7.000;2.303;18472.000;0.000;2.9578;62.892;87.150;12.000;12.000;2.721;0.000;0.000
32;0.8963;0.7693;1.1096;1.9341;1.0762;1.7100;0.5107;2.8985;41.047;64.819;8.000;0.000;0.000;0.000;0.000;3.3172;39.635;66.841;7.000;0.000;0.000;14558.000;1937.000;2.5871;42.667;63.884;12.000;11.000;24.743;0.000;796.000;2.8811;41.091;64.720;8.000;8.000;0.579;0.000;0.000
33;0.6626;1.6581;1.1011;0.9829;0.8337;0.7529;1.2813;2.8525;68.432;91.827;12.000;0.000;0.000;0.000;0.000;3.2042;66.976;93.256;10.000;0.000;0.000;6734.000;0.000;2.9817;67.088;91.541;11.000;4.000;0.607;0.000;0.000;2.7471;69.679;92.209;13.000;13.000;10.039;0.000;0.000
34;0.8302;0.9141;1.4678;1.8562;1.9825;0.9793;0.6056;2.9202;40.875;64.825;8.000;0.000;0.000;0.000;0.000;3.0044;40.435;65.075;7.000;0.000;0.000;7606.000;0.000;2.6654;42.224;64.084;11.000;7.000;20.476;7606.000;0.000;2.8736;41.098;64.665;8.000;9.000;2.067;0.000;0.000
35;0.5176;0.9926;0.5558;0.5886;0.6924;1.9779;0.6261;2.9508;45.108;69.310;7.000;0.000;0.000;0.000;0.000;3.2017;44.570;70.828;6.000;0.000;0.000;4539.000;2782.000;2.7679;46.535;69.236;12.000;11.000;21.983;0.000;4313.000;2.9141;45.338;69.238;7.000;6.000;0.969;0.000;58.000
36;0.5825;1.7800;1.1844;1.3946;0.8176;1.8247;1.9348;2.9641;105.074;129.384;17.000;0.000;0.000;0.000;0.000;3.3932;102.065;129.893;13.000;0.000;0.000;6423.000;22.000;3.3653;102.084;129.684;14.000;4.000;0.697;0.000;4125.000;2.7746;108.165;130.921;17.000;21.000;25.717;0.000;0.000
37;1.0844;1.9638;1.0081;0.9199;1.4854;1.2214;0.6602;3.0017;44.514;69.132;8.000;0.000;0.000;0.000;0.000;3.2431;43.958;70.556;8.000;0.000;0.000;7578.000;0.000;2.7999;45.729;68.691;11.000;7.000;18.126;7578.000;0.000;2.9367;44.826;68.911;8.000;8.000;1.953;0.000;0.000
38;1.0209;0.5115;1.6833;1.0606;0.5331;1.8347;1.9984;2.9671;110.356;134.690;19.000;0.000;0.000;0.000;0.000;3.4685;108.642;137.089;17.000;0.000;0.000;17905.000;3920.000;3.4685;108.642;137.089;17.000;0.000;0.000;17905.000;3920.000;2.7977;113.301;136.246;21.000;23.000;23.174;0.000;0.000
39;1.3895;0.9092;1.1351;0.5071;0.5811;0.7911;0.8843;2.8576;52.827;76.264;10.000;0.000;0.000;0.000;0.000;3.1039;52.538;77.995;5.000;0.000;0.000;5103.000;0.000;2.7916;53.697;76.592;12.000;7.000;8.808;5103.000;0.000;2.8122;53.189;76.254;6.000;12.000;4.075;0.000;0.000
40;1.4259;0.6335;0.5873;1.3149;1.7125;1.6927;1.3985;2.9608;80.505;104.787;13.000;0.000;0.000;0.000;0.000;3.7738;79.085;110.036;9.000;0.000;0.000;13340.000;3218.000;3.0786;79.859;105.108;13.000;4.000;0.082;0.000;1766.000;2.8731;81.383;104.947;14.000;14.000;5.834;0.000;0.000
41;1.9550;1.0311;1.4630;0.8915;0.8159;1.7674;0.9084;2.9337;62.802;86.862;13.000;0.000;0.000;0.000;0.000;3.3307;61.372;88.689;13.000;0.000;0.000;14341.000;1110.000;3.3296;62.590;89.897;8.000;7.000;7.731;14341.000;1110.000;2.9009;63.095;86.887;12.000;15.000;3.414;0.000;0.000
42;1.4073;0.9959;0.5842;0.5962;1.0141;1.3336;1.3996;3.0326;77.909;102.780;13.000;0.000;0.000;0.000;0.000;3.6414;76.751;106.615;8.000;0.000;0.000;14605.000;0.000;3.2688;77.276;104.085;12.000;4.000;0.090;0.000;2197.000;2.9371;78.803;102.891;14.000;14.000;5.806;0.000;0.000
43;0.7963;0.5064;1.0473;0.6503;0.7793;1.0965;0.8607;2.9477;52.013;76.189;9.000;0.000;0.000;0.000;0.000;3.1705;51.007;77.009;8.000;0.000;0.000;12907.000;0.000;2.8047;53.079;76.082;11.000;11.000;10.296;0.000;0.000;2.8923;52.527;76.248;8.000;10.000;4.314;0.000;0.000
44;0.9447;0.5362;0.6444;1.6064;1.0166;1.7055;1.6410;2.9452;90.664;114.819;14.000;0.000;0.000;0.000;0.000;3.3446;89.339;116.770;13.000;0.000;0.000;5378.000;3512.000;3.1297;89.527;115.195;14.000;4.000;1.173;0.000;3543.000;2.8745;92.113;115.688;15.000;15.000;11.808;276.000;0.000
45;0.6535;0.8701;1.0364;0.5724;0.5628;1.6054;1.5729;2.9589;86.901;111.168;14.000;0.000;0.000;0.000;0.000;3.2734;86.041;112.887;13.000;0.000;0.000;11413.000;2354.000;3.0616;86.384;111.494;14.000;4.000;0.898;0.000;4207.000;2.8602;88.841;112.298;15.000;16.000;14.444;0.000;0.000
46;0.8506;1.3316;1.0252;1.4096;0.7740;0.9646;1.7242;2.9176;89.830;113.758;15.000;0.000;0.000;0.000;0.000;3.0611;88.443;113.549;13.000;0.000;0.000;3784.000;0.000;3.0234;88.508;113.305;13.000;4.000;0.344;0.000;0.000;2.8674;91.046;114.563;15.000;16.000;8.882;0.000;0.000
47;1.5511;0.7684;1.6977;0.8690;1.2877;1.3407;0.8726;2.9673;57.984;82.320;13.000;0.000;0.000;0.000;0.000;3.1624;57.336;83.272;12.000;0.000;0.000;8279.000;1237.000;3.0523;58.427;83.460;8.000;7.000;9.320;8279.000;1237.000;2.9240;58.354;82.335;13.000;15.000;5.313;0.000;0.000
48;1.5737;0.9531;1.8939;1.8320;1.7417;1.7614;0.6131;2.9457;49.711;73.871;11.000;0.000;0.000;0.000;0.000;3.3808;48.050;75.778;10.000;0.000;0.000;17695.000;845.000;2.9619;49.932;74.224;8.000;7.000;20.020;17695.000;845.000;2.9084;49.910;73.763;8.000;12.000;2.022;0.000;142.000
49;1.2283;1.3969;1.0407;1.0413;0.6611;0.6248;1.4807;2.8071;77.971;100.993;14.000;0.000;0.000;0.000;0.000;3.0102;76.479;101.168;11.000;0.000;0.000;5709.000;0.000;3.0102;76.479;101.168;11.000;0.000;0.000;5709.000;0.000;2.7983;78.092;101.042;13.000;14.000;3.153;0.000;0.000
50;0.6152;1.3721;0.5564;0.8855;0.5169;1.2490;0.7505;3.0086;46.272;70.946;7.000;0.000;0.000;0.000;0.000;3.0869;46.075;71.393;6.000;0.000;0.000;1052.000;0.000;2.7835;47.629;70.458;11.000;11.000;16.504;0.000;0.000;3.0686;46.237;71.404;6.000;4.000;0.896;1052.000;0.000
51;0.9562;0.7438;1.0221;1.2443;0.6302;1.4683;1.4794;2.9631;82.801;107.103;14.000;0.000;0.000;0.000;0.000;3.7526;80.622;111.399;10.000;0.000;0.000;14302.000;3658.000;3.1104;81.419;106.929;13.000;4.000;0.125;0.000;726.000;2.9361;82.992;107.072;14.000;14.000;3.103;0.000;0.000
52;1.8459;0.8476;1.6774;0.5693;1.9832;0.6710;0.8396;2.8097;52.787;75.831;12.000;0.000;0.000;0.000;0.000;3.3235;50.914;78.171;11.000;0.000;0.000;21898.000;0.000;3.1674;52.852;78.829;7.000;7.000;10.343;21898.000;0.000;2.7948;52.859;75.780;11.000;13.000;1.362;0.000;0.000
53;0.5692;1.5914;0.9807;1.8984;0.6110;1.7215;0.8231;2.9441;53.944;78.090;9.000;0.000;0.000;0.000;0.000;3.5790;52.545;81.897;7.000;0.000;0.000;10006.000;4203.000;2.7938;55.054;77.967;12.000;11.000;12.541;0.000;1425.000;2.8989;54.198;77.973;8.000;9.000;1.764;0.000;0.000
54;0.6938;1.2434;0.5214;1.0359;0.9641;0.5348;0.9128;2.7903;48.897;71.782;7.000;0.000;0.000;0.000;0.000;2.8664;48.564;72.073;7.000;0.000;0.000;7196.000;0.000;2.6421;49.776;71.445;11.000;11.000;9.713;0.000;0.000;2.7568;49.279;71.888;8.000;8.000;2.297;0.000;0.000
55;0.7630;0.7058;1.8158;1.1460;0.6191;1.4283;0.8346;2.9654;55.177;79.497;11.000;0.000;0.000;0.000;0.000;3.3602;53.910;81.468;10.000;0.000;0.000;8681.000;851.000;2.9558;55.755;79.997;13.000;7.000;10.825;8681.000;851.000;2.9439;55.325;79.470;12.000;12.000;1.655;0.000;0.000
56;1.1469;0.8467;1.2117;1.2869;0.7408;1.5824;1.1779;2.9472;71.053;95.225;13.000;0.000;0.000;0.000;0.000;3.2325;69.666;96.177;12.000;0.000;0.000;10318.000;2862.000;3.2325;69.666;96.177;12.000;0.000;0.000;10318.000;2862.000;2.9181;71.605;95.537;12.000;14.000;4.901;0.000;0.000
57;1.1571;0.6764;0.7110;0.8650;0.5240;0.5394;1.2530;2.7897;65.930;88.810;12.000;0.000;0.000;0.000;0.000;2.9395;64.932;89.040;11.000;0.000;0.000;2509.000;0.000;2.8982;64.939;88.709;11.000;4.000;0.379;0.000;0.000;2.7812;66.220;89.030;12.000;12.000;2.069;0.000;0.000
58;0.7754;1.3571;0.5547;1.3950;0.6729;1.6691;1.7569;2.9489;94.929;119.114;14.000;0.000;0.000;0.000;0.000;3.3372;93.037;120.407;12.000;0.000;0.000;2856.000;2000.000;3.3006;92.847;119.917;14.000;4.000;1.787;0.000;3869.000;2.9240;95.824;119.805;13.000;16.000;7.496;0.000;0.000
59;1.3001;0.8637;0.5181;1.4362;1.0910;0.5604;1.1030;2.8075;59.198;82.223;11.000;0.000;0.000;0.000;0.000;2.9977;58.499;83.084;9.000;0.000;0.000;10670.000;0.000;2.7869;59.199;82.056;11.000;11.000;0.848;0.000;0.000;2.7158;60.277;82.550;8.000;12.000;7.480;0.000;0.000
60;0.5043;0.9348;1.1700;1.5213;0.7481;0.6897;0.7912;2.8460;45.618;68.959;8.000;0.000;0.000;0.000;0.000;2.9961;45.099;69.671;7.000;0.000;0.000;10572.000;0.000;2.6295;47.067;68.633;11.000;11.000;13.480;0.000;0.000;2.7563;46.206;68.812;8.000;8.000;2.640;0.000;0.000
61;0.5428;1.8188;1.6950;1.1521;0.5545;0.5615;1.8203;2.7929;92.771;115.677;16.000;0.000;0.000;0.000;0.000;3.0987;90.484;115.897;9.000;0.000;0.000;3427.000;0.000;3.0987;90.484;115.897;9.000;0.000;0.000;3427.000;0.000;2.7864;93.322;116.174;16.000;17.000;5.365;0.000;0.000
62;0.5946;0.6119;1.4855;0.7595;0.8846;0.8827;1.3196;2.9014;71.833;95.629;12.000;0.000;0.000;0.000;0.000;3.0685;71.422;96.588;12.000;0.000;0.000;6238.000;0.000;3.0685;71.422;96.588;12.000;0.000;0.000;6238.000;0.000;2.7996;72.886;95.847;9.000;13.000;8.753;0.000;0.000
63;0.9624;1.5416;0.9944;0.7479;0.6548;1.4241;0.6778;2.9665;46.329;70.658;9.000;0.000;0.000;0.000;0.000;3.5919;45.326;74.785;5.000;0.000;0.000;10167.000;1923.000;2.8353;47.763;71.017;12.000;11.000;17.588;0.000;2189.000;2.9308;46.499;70.535;4.000;9.000;1.340;0.000;0.000
64;1.1630;1.1509;1.9007;0.5661;0.6667;1.2510;0.7910;3.0305;52.984;77.838;11.000;0.000;0.000;0.000;0.000;3.3568;51.494;79.025;9.000;0.000;0.000;20021.000;0.000;2.9245;53.156;77.141;13.000;7.000;12.449;20021.000;0.000;2.9319;53.556;77.601;12.000;12.000;2.942;0.000;0.000
65;0.5976;1.7300;1.3784;0.6807;0.5705;1.6075;1.1018;2.9722;66.529;90.906;12.000;0.000;0.000;0.000;0.000;3.3093;65.130;92.270;11.000;0.000;0.000;11053.000;3437.000;2.9655;66.599;90.921;12.000;11.000;0.534;0.000;476.000;2.8519;67.649;91.038;13.000;13.000;7.788;0.000;0.000
66;1.8140;1.0241;0.6886;0.6017;0.8924;1.2906;0.5030;2.9835;38.900;63.369;9.000;0.000;0.000;0.000;0.000;3.2608;38.361;65.104;8.000;0.000;0.000;2436.000;3373.000;2.8339;40.238;63.480;12.000;7.000;25.038;2436.000;3373.000;2.9548;38.978;63.212;9.000;6.000;0.972;660.000;74.000
67;0.8650;0.8752;1.2675;0.6552;1.6843;0.7847;1.5731;2.8592;82.640;106.090;14.000;0.000;0.000;0.000;0.000;3.0316;82.059;106.922;13.000;0.000;0.000;11127.000;0.000;3.0316;82.059;106.922;13.000;0.000;0.000;11127.000;0.000;2.7651;84.534;107.211;14.000;16.000;14.516;0.000;0.000
68;1.5749;1.7050;0.7158;1.6018;0.6883;0.8699;0.6397;2.8761;41.603;65.191;9.000;0.000;0.000;0.000;0.000;3.0199;41.034;65.801;7.000;0.000;0.000;7363.000;0.000;2.6528;43.020;64.777;11.000;7.000;18.992;7363.000;0.000;2.8297;41.853;65.061;9.000;9.000;1.826;0.000;0.000
69;0.9782;0.5549;1.8839;0.5091;0.9953;1.5979;0.6008;2.9525;46.325;70.540;10.000;0.000;0.000;0.000;0.000;3.2049;45.451;71.736;9.000;0.000;0.000;8093.000;2538.000;2.8355;47.259;70.515;12.000;7.000;20.650;8093.000;2538.000;2.9055;46.558;70.387;12.000;12.000;2.762;0.000;0.000
70;1.1441;1.0440;1.4291;1.3169;1.5692;1.5017;1.1217;2.9684;68.500;92.845;13.000;0.000;0.000;0.000;0.000;3.2306;67.556;94.052;13.000;0.000;0.000;9364.000;3159.000;3.2306;67.556;94.052;13.000;0.000;0.000;9364.000;3159.000;2.8965;69.370;93.125;12.000;14.000;7.301;0.000;158.000
71;0.8122;0.5803;0.6275;1.6730;0.7235;1.7268;0.7643;2.9421;50.886;75.015;8.000;0.000;0.000;0.000;0.000;3.1223;50.242;75.849;8.000;0.000;0.000;6680.000;782.000;2.7538;52.224;74.809;12.000;11.000;15.282;0.000;1209.000;2.9232;51.011;74.985;8.000;9.000;1.501;0.000;0.000
