# Valeur informationnelle du SoH -- boucle fermee vs boucle ouverte
# horizon=25 ans | N_MC=200 | mult U_log[0.50,2.00] | seed=2026 | VoLL=3.0 EUR/kWh
# facteurs perturbes : FC(a_irr,b_rev,s) ELY(a2,b2,s) BAT(echelle table)
# unifie = deg + VoLL*EENS [kEUR] ; CRN : memes mondes pour les 3 strategies
# TEST NUL nominal Sched==SoH : OK

## Points nominaux (multiplicateurs = 1)
strat;LPSP_%;deg_kEUR;EENS_kWh;unifie_kEUR;vie_bat;vie_fc;vie_ely
RB2;3.2499;57.548;8884.6;84.201;3.9121004566210043;5.686187214611872;None
RB2(Sched);2.9099;58.024;7955.0;81.889;3.890296803652968;5.524429223744292;None
RB2(SoH);2.9099;58.024;7955.0;81.889;3.890296803652968;5.524429223744292;None

## Tirages (mondes perturbes, 200 complets)
draw;m_fc_a;m_fc_b;m_fc_s;m_ely_a;m_ely_b;m_ely_s;m_bat;RB2_lpsp;RB2_deg;RB2_uni;RB2(Sched)_lpsp;RB2(Sched)_deg;RB2(Sched)_uni;RB2(SoH)_lpsp;RB2(SoH)_deg;RB2(SoH)_uni
151;1.3000;0.6138;0.9292;1.5905;1.5881;1.3174;1.5335;3.2715;84.285;111.116;2.9473;86.109;110.281;2.9954;84.834;109.401
152;1.2954;1.5941;0.8186;0.5518;0.5705;1.1385;0.5088;3.2382;36.715;63.273;2.9146;37.455;61.359;2.9403;37.129;61.243
153;1.6044;0.6505;1.5515;0.8187;0.5796;0.8348;0.5063;3.2359;37.307;63.846;2.9225;37.750;61.719;2.8511;37.807;61.190
154;0.6605;0.6124;1.9336;0.9115;1.0701;0.5404;0.5427;3.2178;35.676;62.067;2.8894;36.008;59.706;2.7527;36.158;58.735
155;1.1510;0.7987;0.7545;0.6270;1.4305;1.8457;0.8338;3.2559;55.606;82.309;2.9127;56.876;80.764;2.9232;56.005;79.979
156;0.8423;0.7497;0.6373;0.7732;1.5619;0.5613;1.5577;3.2699;77.973;104.791;2.9632;78.443;102.745;2.8178;78.639;101.749
157;0.5396;1.0537;1.4470;0.8003;1.6847;1.4387;1.2160;3.2540;70.286;96.973;2.9188;71.549;95.488;2.9680;70.643;94.985
158;0.8232;0.6039;1.1411;0.6636;1.6917;1.6916;0.9931;3.2689;61.908;88.718;2.9203;63.185;87.135;2.9453;62.300;86.455
159;1.3012;1.3698;0.8045;0.6186;0.9059;1.0047;1.3072;3.2829;71.464;98.388;2.9653;72.036;96.355;2.9527;72.022;96.238
160;1.2909;0.5399;1.7950;0.6645;0.6913;0.5657;0.9946;3.2558;57.233;83.935;2.9248;57.754;81.741;2.7776;57.928;80.708
161;1.8009;1.2529;0.9881;1.6455;1.8649;1.0884;1.5011;3.2552;82.553;109.251;2.9382;83.985;108.083;2.9464;83.289;107.453
162;1.9528;0.5208;1.1252;1.2986;1.0636;0.7617;0.7242;3.2398;46.326;72.897;2.9203;46.867;70.817;2.8355;46.955;70.211
163;1.7056;1.6952;0.6051;1.4031;1.3179;0.9486;0.8675;3.2512;52.016;78.680;2.9299;52.487;76.516;2.9045;52.550;76.370
164;0.7836;1.3517;0.9362;1.2794;1.3176;1.9485;1.2897;3.2607;76.315;103.057;2.9555;78.212;102.450;2.9552;76.750;100.987
165;0.5578;0.6799;1.1309;0.5175;0.9375;0.7642;0.6408;3.2591;38.998;65.727;2.9362;39.332;63.413;2.8472;39.405;62.756
166;0.5326;0.5118;0.6328;1.8364;0.7872;1.8336;0.5729;3.2294;42.115;68.601;2.8932;44.165;67.894;2.8942;42.403;66.140
167;1.1551;1.0410;1.2055;1.6188;0.8584;1.2576;0.6702;3.2454;45.702;72.319;2.9221;47.251;71.217;2.9712;46.101;70.469
168;1.4861;1.0489;0.5589;0.7505;0.6028;1.4048;0.8752;3.2516;54.840;81.508;2.9123;56.123;80.008;2.9748;55.275;79.673
169;1.0329;1.1639;0.8383;1.9614;1.4201;1.2286;0.6173;3.2686;41.676;68.484;2.9513;43.321;67.526;3.0166;42.104;66.844
170;0.8362;0.8458;1.3264;0.5597;0.6071;1.5034;0.8495;3.2519;54.775;81.446;2.9220;55.866;79.831;2.9616;55.134;79.424
171;0.7572;0.5784;0.5622;0.8938;0.9460;1.9183;1.2560;3.2765;73.331;100.203;2.9570;74.955;99.207;2.9417;73.785;97.911
172;0.6802;1.2892;0.5089;1.4036;0.7713;1.2824;1.8800;3.2813;96.719;123.631;2.9371;98.432;122.521;3.0116;97.297;121.996
173;1.9700;1.0793;0.5508;0.5447;0.7283;0.5698;0.7452;3.2439;44.410;71.015;2.9253;44.934;68.925;2.7805;45.094;67.899
174;1.7067;0.7657;0.7894;1.5823;1.4358;0.7820;1.0033;3.2542;57.432;84.121;2.9227;57.974;81.944;2.8454;58.074;81.411
175;1.0869;1.3620;0.6020;1.4210;0.5720;1.1284;1.8537;3.2694;95.641;122.455;2.9574;97.224;121.478;2.9807;96.320;120.766
176;0.6341;1.4632;0.8602;0.6906;1.0192;0.6512;0.9269;3.2658;50.469;77.253;2.9458;50.834;74.994;2.8256;50.942;74.116
177;1.1265;1.4556;1.5454;1.7133;0.9810;1.7764;1.7318;3.2659;97.367;124.151;2.9470;99.684;123.854;2.9661;98.004;122.330
178;0.9845;0.5820;0.8289;1.4060;1.0874;0.6482;1.6498;3.2525;83.808;110.483;2.9333;84.347;108.404;2.8148;84.527;107.612
179;1.2242;0.5975;1.5586;1.0205;0.8208;1.0334;1.0573;3.2665;62.336;89.126;2.9467;62.948;87.115;2.9485;62.856;87.037
180;1.9401;1.2916;0.7307;0.8914;0.5839;0.8178;1.5313;3.2633;81.639;108.403;2.9452;82.311;106.466;2.8680;82.402;105.924
181;0.8757;1.5361;0.7737;1.1859;0.5537;0.6017;0.8812;3.2414;48.650;75.234;2.9307;49.050;73.086;2.7905;49.190;72.076
182;1.7820;1.3416;0.6786;0.7553;0.5321;1.2166;1.8589;3.2837;98.442;125.374;2.9513;99.757;123.962;3.0055;99.047;123.696
183;1.2180;1.4249;0.8465;1.4744;0.9858;1.3384;0.7157;3.2482;47.473;74.113;2.9058;49.116;72.948;2.9700;47.879;72.237
184;1.3282;0.6913;0.7964;0.7417;0.9175;0.6741;1.1553;3.2490;62.587;89.233;2.9152;63.116;87.025;2.8075;63.260;86.286
185;1.2237;0.6856;1.4574;1.2555;1.8875;1.6600;1.8574;3.2765;102.183;129.055;2.9464;104.125;128.290;2.9721;102.769;127.144
186;1.7948;1.7559;1.9554;1.8801;0.8197;0.6008;1.8156;3.2537;95.922;122.607;2.9331;96.623;120.679;2.8052;96.833;119.840
187;0.7714;1.6597;1.9877;1.1829;0.7438;1.2553;1.6132;3.2660;88.947;115.733;2.9365;90.433;114.517;3.0124;89.439;114.145
188;0.6331;1.6866;1.3542;1.7980;0.8076;1.7663;0.6454;3.2574;46.984;73.699;2.9267;49.023;73.026;2.9378;47.323;71.417
189;1.3682;1.8174;1.0751;0.6161;1.8960;1.1286;0.7324;3.2395;47.543;74.111;2.9319;48.318;72.364;2.9471;48.011;72.182
190;1.7892;1.5725;1.8362;1.2262;0.6772;1.1460;1.0113;3.2464;63.314;89.939;2.9242;64.776;88.759;2.9716;63.947;88.318
191;1.0107;0.5100;0.7143;0.7263;0.5649;0.8452;0.9314;3.2731;52.495;79.339;2.9502;52.926;77.122;2.8920;52.981;76.699
192;1.2941;1.0276;0.9379;0.6123;0.6936;0.7795;0.6143;3.2584;39.210;65.934;2.9552;39.629;63.865;2.8600;39.701;63.157
193;0.7142;0.8756;0.6884;0.7122;1.4818;0.8267;0.8496;3.2397;48.126;74.696;2.9376;48.506;72.599;2.8572;48.564;71.997
194;1.4786;1.4504;1.3498;1.1193;0.5458;1.6472;1.1924;3.2590;72.802;99.531;2.9263;74.597;98.596;2.9373;73.329;97.419
195;1.8412;0.6427;0.5880;1.7462;0.7741;1.8915;1.4266;3.2832;83.708;110.635;2.9355;86.073;110.148;2.9403;84.350;108.464
196;0.6830;1.1918;0.8026;1.5592;1.2197;1.3744;0.7436;3.2551;47.469;74.165;2.9352;49.128;73.201;2.9729;47.815;72.197
197;0.5155;0.8866;1.3508;1.7713;0.7663;0.9447;1.6973;3.2711;87.973;114.801;2.9492;88.426;112.614;2.9147;88.484;112.389
198;0.7082;1.2855;1.7014;1.1981;0.5870;1.2350;0.5297;3.2347;39.397;65.926;2.9128;40.673;64.562;2.9809;39.739;64.186
199;0.7389;1.7037;1.3459;0.6737;1.3044;1.1074;1.5348;3.2601;82.382;109.119;2.9427;83.163;107.297;2.9685;82.881;107.227

## Stats par strategie (cout unifie, kEUR)
strat;mean;std;min;P5;P50;P95;max;CVaR90;LPSP_mean;deg_mean
RB2;91.643;19.199;59.583;64.380;89.319;124.212;136.724;125.608;3.2600;64.906
RB2(Sched);90.043;19.387;57.238;62.148;87.702;123.859;135.786;124.482;2.9358;65.966
RB2(SoH);89.333;19.327;56.198;61.799;87.076;122.381;134.690;123.552;2.9146;65.428

## Differences appariees (CRN) du cout unifie [kEUR] (negatif = 1er gagne)
paire;mean;std;P5;P95;pct_gagne
RB2(SoH) - RB2;-2.311;0.486;-3.137;-1.646;100.0%
RB2(SoH) - RB2(Sched);-0.711;0.423;-1.511;-0.100;99.0%
RB2(Sched) - RB2;-1.600;0.578;-2.275;-0.604;100.0%

## Regret vs meilleur des 3 par tirage [kEUR]
strat;mean;P95;max
RB2;2.311;3.137;3.385
RB2(Sched);0.711;1.511;1.810
RB2(SoH);0.000;0.000;0.063
