# RB2(SoH) generalisee gamma — min deg s.c. LPSP<=cap — 25 ans — metrics() commun
# REF RB2(0.45, 0.33) : LPSP_cap=2.4540%  deg_cible=65.42kEUR
phase;c_fc;c_ely;g_fc;g_ely;faisable;LPSP_%;deg_kEUR;vie_bat;vie_fc;vie_ely
2;0.440;0.335;0.5;0.0;0;2.5808;66.83;3.901027397260274;12.589840182648402;11.66472602739726
1;0.500;0.340;0.0;0.0;0;2.9676;67.63;3.9664383561643834;12.610159817351597;10.239954337899544
1;0.450;0.350;2.0;1.0;0;2.7925;67.66;3.903538812785388;12.634931506849314;11.311187214611872
1;0.450;0.340;2.0;0.0;0;2.7919;67.67;3.9051369863013696;12.634931506849314;11.15228310502283
1;0.475;0.340;2.0;0.0;0;2.5993;67.80;3.9245433789954336;12.603538812785388;10.921689497716894
1;0.500;0.340;1.0;0.0;0;2.4740;67.81;3.9610730593607304;12.584474885844749;10.440068493150685
1;0.500;0.340;2.0;0.0;0;2.5024;67.83;3.9544520547945203;12.58173515981735;10.667351598173516
1;0.450;0.340;1.0;0.0;0;2.6090;67.88;3.9079908675799087;12.596575342465753;10.81255707762557
1;0.475;0.350;2.0;1.0;0;2.5951;67.92;3.9227168949771687;12.603538812785388;10.968264840182648
1;0.450;0.350;1.0;1.0;0;2.6061;67.96;3.9063926940639266;12.596575342465753;10.946917808219178
1;0.500;0.350;0.0;1.0;0;2.9824;67.98;3.9656392694063927;12.621232876712329;10.357876712328768
1;0.500;0.350;2.0;1.0;0;2.4805;68.03;3.9529680365296804;12.570662100456621;10.732876712328768
1;0.500;0.350;1.0;1.0;0;2.5843;68.07;3.958675799086758;12.600799086757991;10.530479452054793
1;0.475;0.350;0.0;1.0;0;2.5267;68.13;3.9381278538812783;12.607534246575343;10.503082191780821
1;0.450;0.350;2.0;0.0;0;2.7652;70.40;3.9023972602739723;12.634931506849314;9.661986301369863
1;0.475;0.350;2.0;0.0;0;2.5707;70.94;3.9214611872146117;12.603538812785388;9.398972602739725
1;0.450;0.350;1.0;0.0;0;2.5796;70.95;3.9051369863013696;12.596575342465753;9.40445205479452
1;0.500;0.350;0.0;0.0;0;2.6688;72.54;3.9641552511415523;12.582648401826484;8.73310502283105
