0,0
2.239,8.77
3.726,14.44
5.213,20.169
6.7,25.838
8.052,31.224
9.92,38.487
12.377,40.373
13.864,41.58
15.351,42.816
16.838,44.113
18.325,45.62
19.906,46.382
21.299,49.402
22.786,54.788
24.273,58.949
25.76,63.111
27.247,67.332
29.96,75
31.707,75.022
33.194,75.022
34.681,75.022
36.168,75.022
37.655,75.022
39.946,75.329
42.116,76.62
43.603,77.827
45.09,79.063
46.577,80.179
48.01,81.424
49.933,82.895
52.524,87.416
54.011,90.07
55.498,92.814
56.985,95.528
58.472,98.986
59.92,100.658
61.716,111.4
62.933,118.476
64.149,125.553
65.366,132.556
66.583,139.669
67.799,146.746
69.136,153.711
69.973,159.539
71.178,172.877
71.854,180.175
72.53,187.472
73.206,194.77
73.882,202.001
74.558,209.233
75.234,216.53
75.91,223.828
76.585,231.126
77.261,238.423
77.937,245.721
78.613,252.952
79.154,258.569
79.96,267.763
82.263,280.61
83.547,287.981
84.831,295.352
86.048,302.208
87.264,309.211
88.481,316.029
90.013,324.671
92.401,335.868
93.888,342.774
95.375,349.86
96.862,356.766
98.243,363.206
100,371.382
