forecast_mode	sigma_scale	n_pairs	delta_lpsp_pp_mean	delta_degradation_keur_mean	delta_j3_keur_mean	delta_j3_pct_mean	delta_j3_pct_std	soh_j3_wins
noisy	0.5	5	0.004436864833414489	-0.000842638489485914	0.0019453863592088893	0.0740071126257047	0.2558555514062786	2
noisy	1.0	4	0.0033107560879210157	-0.007694331603344207	-0.005613927852574752	-0.20029102184947745	0.10235565620826913	4
noisy	1.5	5	-0.0012492132575687375	-0.008302510341879099	-0.009087487512513448	-0.3113530786238372	0.3789169791719611	3
perfect	0.0	1	-0.0007657023576118083	0.0020652232776172674	0.0015840733485843472	0.06234011331498479	0.0	0
persistence	0.0	1	-0.1056238432729133	0.005949955660519812	-0.06042166274934768	-1.5848698527662797	0.0	1
