label	display	lpsp_pct	degradation_keur	eens_kwh	j_voll3_keur	nondominated	wall_seconds
rb1_v11_p2_020_040	RB1	0.6007435545	2.511146749	125.8311909	2.888640322	0	3.176875737
rb2_v11_p2_0574_0465	RB2	0.6167620498	2.676641111	129.1864102	3.064200341	0	3.686119604
mpc_no_soh_h6	MPC H6 sans SoH	0.675817166	2.256611511	141.5560403	2.681279632	0	131.6543012
mpc_no_soh_h24	MPC H24 sans SoH	0.2629788888	2.37576781	55.08331552	2.541017756	1	1859.042162
mpc_soh_fc1_h6	MPC H6 SoH-FC	0.6760603424	2.257044443	141.6069758	2.68186537	0	132.2729631
mpc_soh_ely1_h6	MPC H6 SoH-ELY	0.6733703386	2.257484852	141.0435301	2.680615442	1	132.099302
mpc_soh_both1_h6	MPC H6 SoH-FC+ELY	0.6740361069	2.25618155	141.1829813	2.679730494	1	131.2453176
mpc_soh_both1_h24	MPC H24 SoH-FC+ELY	0.2622131864	2.377833033	54.92293221	2.54260183	1	1871.413701
