# Sweep setpoints RB2 (fixes) - 25 ans ; VoLL=[(None, 3)]
# P_fc_max=1753.06 W  P_ely_max=18430.24 W
# OPTIMUM : fc_frac=0.590 ely_frac=0.490 -> unifie=75.5501 kEUR
rang;fc_frac;ely_frac;LPSP(%);deg(kEUR);unifie(kEUR)
1;0.590;0.490;0.7750;63.3746;75.5501
2;0.570;0.470;0.7984;63.1277;75.6701
3;0.580;0.490;0.7805;63.4166;75.6781
4;0.580;0.470;0.8190;63.1151;75.9813
5;0.570;0.490;0.8023;63.4640;76.0676
6;0.590;0.470;0.8904;63.0368;77.0247
7;0.570;0.450;0.9138;62.7204;77.0760
8;0.580;0.450;1.0297;62.6355;78.8111
9;0.590;0.450;1.1317;62.5341;80.3135
