# Comparaison contrainte RB2 vs RB2(SoH) — min deg s.c. LPSP<=CAP — 25 ans
# LPSP_CAP=2.4540%  (ancre = RB2(0.45, 0.33))  estimateur=metrics() commun
famille;coef_fc;coef_ely;faisable;LPSP_%;deg_kEUR;vie_bat;vie_fc;vie_ely
RB2;0.550;0.300;0;5.9165;56.30;3.999429223744292;13.571917808219178;21.659132420091325
RB2;0.500;0.300;0;3.7111;56.93;3.9666666666666663;12.758219178082191;21.629109589041096
RB2;0.475;0.300;0;3.3655;57.37;3.9408675799086756;12.73082191780822;21.256278538812786
RB2;0.450;0.300;0;2.9090;57.85;3.9133561643835617;12.636415525114154;20.74132420091324
RB2;0.550;0.320;0;4.9493;58.39;4.018721461187215;13.314269406392693;15.730365296803653
RB2;0.460;0.310;0;2.8758;58.49;3.924429223744292;12.626712328767123;18.01255707762557
RB2;0.400;0.300;0;2.8371;58.65;3.8832191780821916;12.673059360730592;19.803995433789954
RB2;0.450;0.310;0;2.6947;58.67;3.9172374429223744;12.592579908675798;17.90582191780822
RB2;0.440;0.310;0;2.5920;58.85;3.9106164383561643;12.571803652968036;17.77134703196347
RB2;0.500;0.320;0;3.3662;59.10;3.9707762557077624;12.673059360730592;15.609817351598172
RB2;0.475;0.320;0;2.9275;59.82;3.9462328767123287;12.662328767123288;15.33310502283105
RB2;0.460;0.320;0;2.6384;60.11;3.926255707762557;12.58824200913242;15.292123287671233
RB2;0.450;0.320;0;2.5246;60.35;3.918835616438356;12.559360730593607;15.215068493150685
RB2;0.440;0.320;0;2.5208;60.59;3.910730593607306;12.560844748858447;15.157534246575342
RB2;0.400;0.320;0;2.8740;61.33;3.885958904109589;12.673059360730592;14.990296803652967
RB2;0.550;0.330;0;4.7671;63.70;4.0162100456621;13.122602739726027;12.798858447488584
RB2;0.500;0.330;0;3.1013;64.57;3.9710045662100457;12.642922374429224;12.722260273972603
RB2;0.400;0.330;0;2.8746;65.14;3.8844748858447486;12.673059360730592;12.938698630136987
RB2;0.475;0.330;0;2.7127;65.18;3.9462328767123287;12.626712328767123;12.648287671232877
RB2;0.460;0.330;0;2.4707;65.35;3.9256849315068494;12.552625570776256;12.648287671232877
RB2;0.440;0.330;0;2.5259;65.38;3.9106164383561643;12.560844748858447;12.721917808219178
RB2;0.450;0.330;1;2.4540;65.42;3.917579908675799;12.548744292237442;12.664611872146118
RB2;0.550;0.340;0;3.9526;67.08;4.016095890410959;12.935502283105022;10.215296803652969
RB2;0.500;0.340;0;2.9676;67.63;3.9664383561643834;12.610159817351597;10.239954337899544
RB2;0.400;0.340;0;2.8374;67.75;3.8791095890410956;12.673059360730592;11.026027397260274
RB2;0.475;0.340;1;2.4519;67.86;3.9396118721461186;12.593721461187215;10.38527397260274
RB2;0.450;0.340;1;2.4087;67.88;3.911643835616438;12.548744292237442;10.568835616438356
RB2;0.440;0.340;0;2.5067;67.89;3.9038812785388126;12.560844748858447;10.628995433789955
RB2;0.460;0.340;1;2.3385;67.93;3.91986301369863;12.536187214611871;10.470091324200913
RB2;0.400;0.360;0;2.8158;73.54;3.8623287671232878;12.673059360730592;8.812442922374428
RB2;0.450;0.360;1;2.4050;75.69;3.907876712328767;12.548744292237442;8.17146118721461
RB2;0.475;0.360;1;2.2074;75.94;3.9378995433789954;12.552625570776256;7.924657534246575
