# horizon=15ans r=0.05 AF=0.6920 VOLL=5.0EUR/kWh
phase;BAT_kWh;FC_kW;ELY_kW;f_fc;f_ely;LPSP_%;E_nonservie_kWh;NPC_k€;VOLL_cost_k€;total_econ_k€;BoP_k€;deg_k€;vie_bat;vie_fc;vie_ely
1;90;2.50;12.00;0.60;0.50;4.9946;12280;98.77;42.49;141.26;29.83;99.62;5.636643835616439;8.436301369863013;2.916780821917808
1;90;2.50;16.00;0.60;0.50;1.2875;3166;110.35;10.95;121.31;37.81;104.84;5.644748858447488;7.672374429223744;3.541324200913242
1;90;3.50;4.00;0.60;0.50;20.1552;49556;67.14;171.46;238.60;15.71;74.32;5.348173515981735;21.687214611872147;2.168835616438356
1;90;3.50;8.00;0.60;0.50;8.7164;21431;87.08;74.15;161.23;23.68;91.61;5.33527397260274;14.862785388127854;2.470205479452055
1;90;3.50;12.00;0.60;0.50;1.1639;2862;102.68;9.90;112.58;31.66;102.63;5.320890410958904;12.117237442922374;2.916780821917808
1;90;3.50;16.00;0.60;0.50;0.9011;2216;111.47;7.67;119.13;39.63;103.81;5.329109589041096;12.023972602739725;3.853767123287671
2;90;3.50;12.00;0.40;0.30;25.4028;62459;59.91;216.10;276.01;31.66;40.82;8.0425799086758;10.9912100456621;None
2;90;3.50;12.00;0.40;0.50;14.7549;36278;93.46;125.52;218.97;31.66;89.31;7.976369863013699;8.380022831050228;2.8043378995433788
2;90;3.50;12.00;0.40;0.70;7.6878;18902;101.24;65.40;166.64;31.66;100.56;7.962785388127854;7.238470319634703;2.3852739726027394
2;90;3.50;12.00;0.60;0.30;10.0704;24760;70.93;85.67;156.60;31.66;56.76;5.345433789954337;15.404908675799087;None
2;90;3.50;12.00;0.60;0.50;1.1639;2862;102.68;9.90;112.58;31.66;102.63;5.320890410958904;12.117237442922374;2.916780821917808
2;90;3.50;12.00;0.60;0.70;0.8570;2107;104.27;7.29;111.56;31.66;104.93;5.328767123287671;12.023972602739725;2.828767123287671
2;90;3.50;12.00;0.80;0.30;14.7684;36311;68.60;125.63;194.24;31.66;53.39;5.61769406392694;19.270776255707762;None
2;90;3.50;12.00;0.80;0.50;4.8786;11995;102.20;41.50;143.70;31.66;101.95;5.598401826484018;15.073744292237443;2.741324200913242
2;90;3.50;12.00;0.80;0.70;1.5611;3838;106.19;13.28;119.47;31.66;107.71;5.612100456621004;13.975;2.503082191780822
